iter SLP Tperiod AMP_WK Xslp
1 0.05 3 0.5 824
2 0.05 3 0.61 824
3 0.05 3 0.72 824
4 0.05 3 0.83 824
5 0.05 3 0.94 824
6 0.05 3 1.06 824
7 0.05 3 1.17 824
8 0.05 3 1.28 824
9 0.05 3 1.39 824
10 0.05 3 1.5 824
11 0.05 4 0.5 824
12 0.05 4 0.61 824
13 0.05 4 0.72 824
14 0.05 4 0.83 824
15 0.05 4 0.94 824
16 0.05 4 1.06 824
17 0.05 4 1.17 824
18 0.05 4 1.28 824
19 0.05 4 1.39 824
20 0.05 4 1.5 824
21 0.05 5 0.5 824
22 0.05 5 0.61 824
23 0.05 5 0.72 824
24 0.05 5 0.83 824
25 0.05 5 0.94 824
26 0.05 5 1.06 824
27 0.05 5 1.17 824
28 0.05 5 1.28 824
29 0.05 5 1.39 824
30 0.05 5 1.5 824
31 0.05 6 0.5 824
32 0.05 6 0.61 824
33 0.05 6 0.72 824
34 0.05 6 0.83 824
35 0.05 6 0.94 824
36 0.05 6 1.06 824
37 0.05 6 1.17 824
38 0.05 6 1.28 824
39 0.05 6 1.39 824
40 0.05 6 1.5 824
41 0.05 7 0.5 824
42 0.05 7 0.61 824
43 0.05 7 0.72 824
44 0.05 7 0.83 824
45 0.05 7 0.94 824
46 0.05 7 1.06 824
47 0.05 7 1.17 824
48 0.05 7 1.28 824
49 0.05 7 1.39 824
50 0.05 7 1.5 824
51 0.05 8 0.5 824
52 0.05 8 0.61 824
53 0.05 8 0.72 824
54 0.05 8 0.83 824
55 0.05 8 0.94 824
56 0.05 8 1.06 824
57 0.05 8 1.17 824
58 0.05 8 1.28 824
59 0.05 8 1.39 824
60 0.05 8 1.5 824
61 0.05 9 0.5 824
62 0.05 9 0.61 824
63 0.05 9 0.72 824
64 0.05 9 0.83 824
65 0.05 9 0.94 824
66 0.05 9 1.06 824
67 0.05 9 1.17 824
68 0.05 9 1.28 824
69 0.05 9 1.39 824
70 0.05 9 1.5 824
71 0.05 10 0.5 824
72 0.05 10 0.61 824
73 0.05 10 0.72 824
74 0.05 10 0.83 824
75 0.05 10 0.94 824
76 0.05 10 1.06 824
77 0.05 10 1.17 824
78 0.05 10 1.28 824
79 0.05 10 1.39 824
80 0.05 10 1.5 824
81 0.05 11 0.5 824
82 0.05 11 0.61 824
83 0.05 11 0.72 824
84 0.05 11 0.83 824
85 0.05 11 0.94 824
86 0.05 11 1.06 824
87 0.05 11 1.17 824
88 0.05 11 1.28 824
89 0.05 11 1.39 824
90 0.05 11 1.5 824
91 0.05 12 0.5 824
92 0.05 12 0.61 824
93 0.05 12 0.72 824
94 0.05 12 0.83 824
95 0.05 12 0.94 824
96 0.05 12 1.06 824
97 0.05 12 1.17 824
98 0.05 12 1.28 824
99 0.05 12 1.39 824
100 0.05 12 1.5 824
101 0.06 3 0.5 844
102 0.06 3 0.61 844
103 0.06 3 0.72 844
104 0.06 3 0.83 844
105 0.06 3 0.94 844
106 0.06 3 1.06 844
107 0.06 3 1.17 844
108 0.06 3 1.28 844
109 0.06 3 1.39 844
110 0.06 3 1.5 844
111 0.06 4 0.5 844
112 0.06 4 0.61 844
113 0.06 4 0.72 844
114 0.06 4 0.83 844
115 0.06 4 0.94 844
116 0.06 4 1.06 844
117 0.06 4 1.17 844
118 0.06 4 1.28 844
119 0.06 4 1.39 844
120 0.06 4 1.5 844
121 0.06 5 0.5 844
122 0.06 5 0.61 844
123 0.06 5 0.72 844
124 0.06 5 0.83 844
125 0.06 5 0.94 844
126 0.06 5 1.06 844
127 0.06 5 1.17 844
128 0.06 5 1.28 844
129 0.06 5 1.39 844
130 0.06 5 1.5 844
131 0.06 6 0.5 844
132 0.06 6 0.61 844
133 0.06 6 0.72 844
134 0.06 6 0.83 844
135 0.06 6 0.94 844
136 0.06 6 1.06 844
137 0.06 6 1.17 844
138 0.06 6 1.28 844
139 0.06 6 1.39 844
140 0.06 6 1.5 844
141 0.06 7 0.5 844
142 0.06 7 0.61 844
143 0.06 7 0.72 844
144 0.06 7 0.83 844
145 0.06 7 0.94 844
146 0.06 7 1.06 844
147 0.06 7 1.17 844
148 0.06 7 1.28 844
149 0.06 7 1.39 844
150 0.06 7 1.5 844
151 0.06 8 0.5 844
152 0.06 8 0.61 844
153 0.06 8 0.72 844
154 0.06 8 0.83 844
155 0.06 8 0.94 844
156 0.06 8 1.06 844
157 0.06 8 1.17 844
158 0.06 8 1.28 844
159 0.06 8 1.39 844
160 0.06 8 1.5 844
161 0.06 9 0.5 844
162 0.06 9 0.61 844
163 0.06 9 0.72 844
164 0.06 9 0.83 844
165 0.06 9 0.94 844
166 0.06 9 1.06 844
167 0.06 9 1.17 844
168 0.06 9 1.28 844
169 0.06 9 1.39 844
170 0.06 9 1.5 844
171 0.06 10 0.5 844
172 0.06 10 0.61 844
173 0.06 10 0.72 844
174 0.06 10 0.83 844
175 0.06 10 0.94 844
176 0.06 10 1.06 844
177 0.06 10 1.17 844
178 0.06 10 1.28 844
179 0.06 10 1.39 844
180 0.06 10 1.5 844
181 0.06 11 0.5 844
182 0.06 11 0.61 844
183 0.06 11 0.72 844
184 0.06 11 0.83 844
185 0.06 11 0.94 844
186 0.06 11 1.06 844
187 0.06 11 1.17 844
188 0.06 11 1.28 844
189 0.06 11 1.39 844
190 0.06 11 1.5 844
191 0.06 12 0.5 844
192 0.06 12 0.61 844
193 0.06 12 0.72 844
194 0.06 12 0.83 844
195 0.06 12 0.94 844
196 0.06 12 1.06 844
197 0.06 12 1.17 844
198 0.06 12 1.28 844
199 0.06 12 1.39 844
200 0.06 12 1.5 844
201 0.06 3 0.5 860.36
202 0.06 3 0.61 860.36
203 0.06 3 0.72 860.36
204 0.06 3 0.83 860.36
205 0.06 3 0.94 860.36
